date,speaker,title,timestamp
2024-06-17,Governor Lisa D. Cook,Marshall Medal Acceptance Remarks,21:00:00-04:00
2024-06-14,Governor Lisa D. Cook,Lessons from the American Economic Association Summer Program,19:00:00-04:00
2024-06-07,Governor Lisa D. Cook,Commencement Address,12:00:00-04:00
2024-07-24,Governor Michelle W. Bowman,Opening Remarks (via pre-recorded video),16:05:00-04:00
2024-07-18,Governor Michelle W. Bowman,Accountability and Reform,19:45:00-04:00
2024-07-17,Governor Christopher J. Waller,Economic Outlook,09:35:00-04:00
2024-07-16,Governor Adriana D. Kugler,Challenges Facing Economic Measurement and Creative Solutions,14:45:00-04:00
2024-07-15,Chair Jerome H. Powell,"Conversation with David M. Rubenstein, Chairman of the Economic Club of Washington, D.C.",12:30:00-04:00
2024-07-10,Governor Lisa D. Cook,Global Inflation and Monetary Policy Challenges,19:30:00-04:00
2024-07-10,Governor Michelle W. Bowman,Opening Remarks,14:30:00-04:00
2024-07-09,Governor Michelle W. Bowman,Promoting an Inclusive Financial System,13:30:00-04:00
2024-07-09,Vice Chair for Supervision Michael S. Barr,"Financial Inclusion: Past, Present, and Hopes for the Future",09:15:00-04:00
2024-07-02,Chair Jerome H. Powell,Policy Panel Discussion,09:30:00-04:00
2024-08-28,Governor Christopher J. Waller,Payments,01:15:00-04:00
2024-08-23,Chair Jerome H. Powell,Economic Outlook,10:00:00-04:00
2024-08-20,Vice Chair for Supervision Michael S. Barr,Cybersecurity,14:45:00-04:00
2024-08-19,Governor Christopher J. Waller,Welcoming Remarks,09:15:00-04:00
2024-09-30,Chair Jerome H. Powell,Economic Outlook,13:55:00-04:00
2024-09-30,Governor Michelle W. Bowman,Economic Outlook and Monetary Policy,08:50:00-04:00
2024-09-27,Governor Michelle W. Bowman,Conversation with Governor Bowman,13:15:00-04:00
2024-09-26,Governor Lisa D. Cook,Artificial Intelligence and the Labor Force,18:00:00-04:00
2024-09-26,Vice Chair for Supervision Michael S. Barr,Financial Inclusion,13:00:00-04:00
2024-09-26,Governor Lisa D. Cook,Artificial Intelligence and Workforce Development,10:30:00-04:00
2024-09-26,Vice Chair for Supervision Michael S. Barr,Supervision and Regulation,10:30:00-04:00
2024-09-26,Chair Jerome H. Powell,Opening Remarks (via pre-recorded video),09:20:00-04:00
2024-09-26,Governor Michelle W. Bowman,Economic Outlook and Monetary Policy,09:15:00-04:00
2024-09-26,Governor Adriana D. Kugler,Financial Inclusion,09:10:00-04:00
2024-09-25,Governor Adriana D. Kugler,Economic Outlook,16:00:00-04:00
2024-09-24,Governor Michelle W. Bowman,Economic Outlook and Monetary Policy,09:00:00-04:00
2024-09-10,Governor Michelle W. Bowman,The Future of Stress Testing and the Stress Capital Buffer Framework,12:15:00-04:00
2024-09-10,Vice Chair for Supervision Michael S. Barr,Basel III Endgame,10:00:00-04:00
2024-09-06,Governor Christopher J. Waller,Economic Outlook,11:00:00-04:00
2024-10-23,Governor Michelle W. Bowman,Opening Remarks,09:00:00-04:00
2024-10-18,Governor Christopher J. Waller,Decentralized Finance,12:10:00-04:00
2024-10-15,Governor Adriana D. Kugler,Career Opportunities and Diversity in Economics,13:00:00-04:00
2024-10-11,Governor Michelle W. Bowman,Community Banking,13:10:00-04:00
2024-10-14,Governor Christopher J. Waller,Economic Outlook,15:00:00-04:00
2024-10-10,Governor Lisa D. Cook,Entrepreneurship and Innovation,09:15:00-04:00
2024-10-09,Vice Chair Philip N. Jefferson,The Discount Window: 1990-Present,12:30:00-04:00
2024-10-08,Vice Chair Philip N. Jefferson,The Discount Window: 1913-2000,19:30:00-04:00
2024-10-08,Governor Adriana D. Kugler,Global Inflation,03:00:00-04:00
2024-10-07,Governor Michelle W. Bowman,Conversation with Governor Bowman,13:00:00-04:00
2024-10-02,Governor Michelle W. Bowman,Building the Community Banking Framework for the Future,11:00:00-04:00
2024-10-01,Governor Lisa D. Cook,"AI, Big Data, and the Path Ahead for Productivity",11:10:00-04:00
2024-11-22,Governor Michelle W. Bowman,Artificial Intelligence,18:15:00-05:00
2024-11-21,Vice Chair for Supervision Michael S. Barr,Banks and Artificial Intelligence,16:40:00-05:00
2024-11-20,Governor Michelle W. Bowman,Approach to Agency Policymaking,12:15:00-05:00
2024-11-20,Governor Lisa D. Cook,Economic Outlook and Monetary Policy,11:00:00-05:00
2024-11-14,Chair Jerome H. Powell,Economic Outlook,15:00:00-05:00
2024-11-14,Governor Adriana D. Kugler,Central Bank Independence and Economic Outlook,07:00:00-05:00
2024-11-12,Governor Christopher J. Waller,Payments,10:00:00-05:00
2024-11-08,Governor Michelle W. Bowman,Conversation on Banking Topics,11:00:00-05:00
2024-12-06,Governor Michelle W. Bowman,Conversation with Governor Bowman,09:15:00-05:00
2024-12-04,Chair Jerome H. Powell,Moderated Discussion,13:40:00-05:00
2024-12-03,Governor Adriana D. Kugler,Labor Market and Monetary Policy,12:35:00-05:00
2024-12-02,Governor Christopher J. Waller,Economic Outlook,15:15:00-05:00
